Annual COâ‚‚ emissions,Annual Temperature Anomaly
196751970,-0.19
198668110,-0.09
207414200,-0.05
217120430,-0.11
255033170,-0.07
260104400,-0.08
277296450,-0.15
279932000,-0.2
284225150,-0.19
301481250,-0.06
330962600,-0.24
347785820,-0.3
354488900,-0.36
378180160,-0.22
407725980,-0.21
432859140,-0.09
446553600,-0.11
478160740,-0.19
491551940,-0.14
521954200,-0.06
533338270,-0.16
566891300,-0.16
627301250,-0.19
666481200,-0.2
624232500,-0.23
677113860,-0.22
686780200,-0.24
700404400,0.12
705973570,0.12
755990460,-0.14
853916350,-0.18
883544060,-0.1
933360100,-0.16
992753600,-0.19
1004134100,-0.3
1011637100,-0.29
1027417500,-0.28
1078746900,-0.34
1194352600,-0.1
1194624000,-0.05
1300362400,-0.34
1361750100,-0.22
1372396500,-0.26
1355477200,-0.33
1403019100,-0.33
1487432300,-0.22
1536365600,-0.11
1609231600,-0.09
1697166300,-0.26
1853709200,-0.15
1952209500,-0.05
2016744400,-0.11
2067683800,-0.22
2254100200,-0.36
2279747300,-0.43
2427318300,-0.25
2534733000,-0.16
2888318000,-0.34
2776440800,-0.41
2890495000,-0.42
3034089700,-0.37
3079502000,-0.4
3235963600,-0.33
3506275800,-0.32
3180355600,-0.14
3134854000,-0.08
3385858300,-0.3
3540426800,-0.43
3493264100,-0.3
3029006600,-0.23
3521427500,-0.23
3090096600,-0.16
3240313900,-0.23
3676233200,-0.25
3687220200,-0.23
3727033600,-0.2
3661030400,-0.07
3996128800,-0.17
3978763300,-0.16
4270907600,-0.32
3938598400,-0.11
3519903200,-0.05
3173476400,-0.12
3341518300,-0.24
3634241800,-0.1
3814798300,-0.15
4185513700,-0.11
4474233000,-0.01
4206901000,0.01
4451247000,0.02
4861346000,0.15
4970814500,0.23
4959586000,0.09
5041694000,0.08
5117908500,0.24
4257136000,0.15
4646123500,-0.04
5145782000,0.0
5424953000,-0.07
5181006000,-0.06
5929342000,-0.13
6381405700,-0.03
6467437000,0.05
6650861600,0.1
6789497300,-0.09
7443861000,-0.12
7925980700,-0.16
8185614000,0.06
8417160000,0.09
8854662000,0.07
9386421000,0.01
9414383000,0.08
9746556000,0.05
10266046000,0.07
10823619000,-0.17
11309690000,-0.08
11861708000,-0.03
12236328000,0.01
12904336000,-0.05
13760840000,0.1
14898157000,0.05
15502787000,-0.06
16223440000,0.06
17083500000,0.19
17009382000,-0.05
17049979000,0.01
17985243000,-0.05
18494652000,0.2
19063955000,0.1
19603001000,0.2
19482442000,0.31
19016950000,0.35
18865373000,0.17
18985900000,0.35
19641730000,0.19
20305132000,0.16
20607515000,0.22
21245784000,0.34
22077385000,0.4
22378970000,0.28
22752700000,0.45
23229475000,0.42
22567199000,0.24
22798350000,0.27
23034776000,0.33
23524491000,0.48
24250161000,0.35
24395952000,0.49
24330945000,0.63
24833495000,0.41
25501286000,0.41
25674930000,0.55
26248288000,0.62
27648650000,0.63
28620194000,0.56
29592103000,0.7
30605767000,0.66
31499735000,0.65
32041902000,0.54
31493265000,0.67
33306330000,0.74
34436470000,0.61
34935450000,0.65
35232470000,0.68
35466195000,0.75
35463213000,0.91
35460026000,1.03
36025455000,0.94
36766945000,0.87
37040103000,0.98
35007738000,1.01
36816544000,0.86
