Year,Annual COâ‚‚ emissions,Population
1950,5929342000.0,2499322000
1951,6381405700.0,2543130400
1952,6467437000.0,2590271000
1953,6650861600.0,2640278800
1954,6789497300.0,2691979300
1955,7443861000.0,2746072000
1956,7925980700.0,2801002800
1957,8185614000.0,2857866800
1958,8417160000.0,2916108000
1959,8854662000.0,2970292200
1960,9386421000.0,3019233500
1961,9414383000.0,3068370700
1962,9746556000.0,3126686700
1963,10266046000.0,3195779300
1964,10823619000.0,3267212300
1965,11309690000.0,3337112000
1966,11861708000.0,3406417000
1967,12236328000.0,3475448000
1968,12904336000.0,3546811000
1969,13760840000.0,3620655400
1970,14898157000.0,3695390200
1971,15502787000.0,3770163200
1972,16223440000.0,3844800800
1973,17083500000.0,3920251400
1974,17009382000.0,3995517000
1975,17049979000.0,4069437200
1976,17985243000.0,4142505700
1977,18494652000.0,4215772400
1978,19063955000.0,4289657600
1979,19603001000.0,4365583000
1980,19482442000.0,4444008000
1981,19016950000.0,4524627500
1982,18865373000.0,4607984600
1983,18985900000.0,4691884000
1984,19641730000.0,4775836000
1985,20305132000.0,4861731000
1986,20607515000.0,4950063000
1987,21245784000.0,5040984600
1988,22077385000.0,5132294000
1989,22378970000.0,5223704000
1990,22752700000.0,5316176000
1991,23229475000.0,5406246000
1992,22567199000.0,5492686300
1993,22798350000.0,5577433600
1994,23034776000.0,5660728000
1995,23524491000.0,5743219700
1996,24250161000.0,5825145300
1997,24395952000.0,5906481000
1998,24330945000.0,5987312600
1999,24833495000.0,6067758600
2000,25501286000.0,6148899000
2001,25674930000.0,6230747000
2002,26248288000.0,6312407600
2003,27648650000.0,6393898500
2004,28620194000.0,6475751400
2005,29592103000.0,6558176000
2006,30605767000.0,6641416000
2007,31499735000.0,6725948400
2008,32041902000.0,6811597300
2009,31493265000.0,6898306000
2010,33306330000.0,6985603000
2011,34436470000.0,7073125400
2012,34935450000.0,7161698000
2013,35232470000.0,7250593300
2014,35466195000.0,7339013600
2015,35463213000.0,7426597400
2016,35460026000.0,7513474000
2017,36025455000.0,7599822300
2018,36766945000.0,7683790000
2019,37040103000.0,7764951000
2020,35007738000.0,7840953000
